194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 41 1 1 -0.360 -0.351 -0.006 -3.011	2 0.670 0.602 -0.085 -12.303	R 31 0 3 -0.033 -0.030 -0.255 -0.523	4 -0.381 -0.390 0.812 2.193
L 42 1 1 -0.356 -0.351 -0.040 -1.833	2 0.670 0.599 -0.051 -11.521	R 32 0 3 -0.038 -0.035 -0.074 -0.013	4 -0.360 -0.376 0.573 3.609
L 43 1 1 -0.353 -0.351 0.006 -0.848	2 0.669 0.597 -0.040 -10.905	R 32 0 3 -0.038 -0.037 0.006 -0.655	4 -0.341 -0.357 0.301 -0.321
L 44 1 1 -0.350 -0.352 0.006 -0.066	2 0.669 0.596 -0.085 -10.114	R 33 0 3 -0.042 -0.038 -0.040 -1.745	4 -0.341 -0.342 0.539 0.391
L 44 1 1 -0.350 -0.351 -0.017 0.286	2 0.669 0.594 -0.040 -9.719	R 34 0 3 -0.046 -0.037 -0.085 -2.712	4 -0.322 -0.329 0.653 1.332
L 45 1 1 -0.347 -0.351 -0.028 1.314	2 0.669 0.593 -0.040 -9.385	R 35 0 3 -0.048 -0.038 -0.040 -3.020	4 -0.305 -0.318 0.403 3.284
L 46 1 1 -0.344 -0.352 -0.040 2.642	2 0.669 0.592 -0.017 -9.033	R 35 0 3 -0.048 -0.039 -0.040 -2.914	4 -0.288 -0.303 0.414 -0.514
L 47 1 1 -0.341 -0.352 -0.017 3.943	2 0.669 0.591 -0.051 -8.532	R 36 0 3 -0.049 -0.040 -0.028 -2.905	4 -0.288 -0.287 0.380 0.127
L 47 1 1 -0.341 -0.353 -0.062 4.435	2 0.669 0.590 -0.176 -8.347	R 37 0 3 -0.049 -0.042 -0.028 -2.536	4 -0.273 -0.282 0.346 2.633
L 48 1 1 -0.337 -0.354 -0.051 5.930	2 0.669 0.590 -0.017 -8.171	R 38 0 3 -0.047 -0.042 -0.062 -2.211	4 -0.259 -0.271 0.539 2.730
