.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 50 1 1 -0.331 -0.363 0.051 10.914	2 0.669 0.616 -0.028 -17.305	R 40 0 3 -0.042 -0.041 0.040 -0.708	4 -0.235 -0.242 0.426 1.578
L 51 1 1 -0.328 -0.360 0.074 11.152	2 0.669 0.615 -0.006 -17.059	R 41 0 3 -0.038 -0.039 0.017 -0.593	4 -0.225 -0.233 0.187 2.484
L 52 1 1 -0.325 -0.358 0.096 11.292	2 0.669 0.614 -0.040 -16.743	R 41 0 3 -0.038 -0.037 0.096 -0.418	4 -0.216 -0.228 0.085 1.051
L 53 1 1 -0.322 -0.356 0.062 11.459	2 0.669 0.613 -0.006 -16.523	R 42 0 3 -0.033 -0.034 0.131 0.101	4 -0.216 -0.221 0.278 1.631
L 53 1 1 -0.322 -0.353 0.085 10.853	2 0.669 0.612 -0.017 -16.242	R 43 0 3 -0.027 -0.031 0.233 0.866	4 -0.208 -0.213 0.278 1.692
L 54 1 1 -0.319 -0.351 0.028 11.231	2 0.669 0.612 -0.040 -15.890	R 44 0 3 -0.020 -0.026 0.040 0.681	4 -0.201 -0.208 0.176 1.982
L 55 1 1 -0.316 -0.349 0.085 11.284	2 0.669 0.611 -0.040 -15.618	R 44 0 3 -0.020 -0.017 0.267 -0.787	4 -0.196 -0.205 0.051 1.305
L 56 1 1 -0.313 -0.347 0.074 11.301	2 0.670 0.611 -0.176 -15.442	R 45 0 3 -0.012 -0.012 0.346 -0.338	4 -0.196 -0.201 0.165 1.727
L 56 1 1 -0.313 -0.345 0.062 11.020	2 0.670 0.611 0.017 -15.371	R 46 0 3 -0.004 -0.006 0.312 0.084	4 -0.191 -0.196 0.255 1.473
L 57 1 1 -0.310 -0.343 0.028 11.398	2 0.670 0.611 -0.017 -15.204	R 47 0 3 0.005 0.001 0.153 -0.549	4 -0.187 -0.193 0.074 1.921
L 58 1 1 -0.307 -0.340 0.108 11.530	2 0.670 0.611 0.017 -15.029	R 47 0 3 0.005 0.008 0.165 -1.130	4 -0.184 -0.191 -0.040 1.262
L 59 1 1 -0.305 -0.339 0.096 11.468	2 0.671 0.611 -0.176 -14.809	R 48 0 3 0.015 0.016 0.312 -0.462	4 -0.184 -0.189 -0.006 1.578
L 59 1 1 -0.305 -0.337 0.040 11.204	2 0.671 0.610 0.028 -14.774	R 49 0 3 0.025 0.022 0.335 0.347	4 -0.182 -0.187 0.040 1.824
L 60 1 1 -0.302 -0.334 0.028 11.697	2 0.671 0.610 -0.176 -14.598	R 50 0 3 0.035 0.028 0.062 0.286	4 -0.180 -0.186 0.074 1.824
L 61 1 1 -0.299 -0.333 0.062 11.609	2 0.672 0.610 -0.028 -14.360	R 50 0 3 0.035 0.037 0.233 -0.637	4 -0.179 -0.184 0.062 1.156
L 62 1 1 -0.296 -0.331 0.085 11.943	2 0.672 0.610 -0.028 -14.211	R 51 0 3 0.046 0.044 0.369 0.374	4 -0.179 -0.182 0.062 1.200
L 62 1 1 -0.296 -0.329 0.017 11.635	2 0.673 0.610 -0.006 -14.132	R 52 0 3 0.057 0.051 0.346 1.077	4 -0.178 -0.183 -0.006 1.613
L 63 1 1 -0.293 -0.327 0.096 11.855	2 0.673 0.610 0.017 -14.000	R 53 0 3 0.068 0.061 0.119 -0.119	4 -0.177 -0.183 -0.028 1.745
L 64 1 1 -0.290 -0.325 0.074 12.110	2 0.673 0.610 -0.176 -13.912	R 53 0 3 0.068 0.069 0.255 -0.479	4 -0.177 -0.182 0.017 1.613
L 65 1 1 -0.288 -0.324 0.062 12.303	2 0.674 0.610 0.017 -13.613	R 54 0 3 0.079 0.079 0.437 -0.224	4 -0.177 -0.182 -0.006 1.648
L 65 1 1 -0.288 -0.321 0.085 11.802	2 0.674 0.610 -0.176 -13.508	R 55 0 3 0.090 0.085 0.346 0.980	4 -0.178 -0.182 -0.006 1.376
L 66 1 1 -0.285 -0.319 0.074 12.031	2 0.674 0.610 0.017 -13.358	R 56 0 3 0.102 0.094 0.131 0.163	4 -0.179 -0.183 -0.074 1.138
L 67 1 1 -0.282 -0.318 0.017 12.435	2 0.675 0.610 -0.006 -13.165	R 56 0 3 0.102 0.104 0.301 -0.374	4 -0.182 -0.183 -0.006 1.077
L 68 1 1 -0.279 -0.315 0.108 12.207	2 0.676 0.610 -0.006 -12.892	R 57 0 3 0.114 0.111 0.380 0.699	4 -0.182 -0.184 -0.051 0.664
L 68 1 1 -0.279 -0.313 0.040 11.890	2 0.677 0.610 0.017 -12.866	R 58 0 3 0.127 0.120 0.392 1.297	4 -0.185 -0.186 -0.165 0.549
L 69 1 1 -0.277 -0.312 0.028 12.277	2 0.677 0.610 -0.006 -12.681	R 59 0 3 0.140 0.129 0.119 1.051	4 -0.190 -0.191 -0.187 0.927
L 70 1 1 -0.274 -0.310 0.062 12.374	2 0.677 0.610 0.017 -12.505	R 59 0 3 0.140 0.140 0.278 0.075	4 -0.195 -0.195 -0.096 2.044
L 71 1 1 -0.271 -0.308 0.051 12.444	2 0.678 0.611 -0.006 -12.136	R 60 0 3 0.153 0.149 0.482 0.804	4 -0.195 -0.200 -0.165 1.701
L 71 1 1 -0.271 -0.306 0.028 12.233	2 0.679 0.611 0.028 -12.180	R 61 0 3 0.166 0.158 0.448 1.692	4 -0.202 -0.205 -0.289 1.314
L 72 1 1 -0.269 -0.304 0.040 12.453	2 0.679 0.611 -0.176 -12.022	R 62 0 3 0.180 0.167 0.165 1.437	4 -0.210 -0.210 -0.244 0.470
L 73 1 1 -0.266 -0.303 0.028 12.743	2 0.680 0.611 -0.176 -11.899	R 62 0 3 0.180 0.178 0.244 0.602	4 -0.219 -0.216 -0.096 1.938
L 74 1 1 -0.264 -0.301 0.074 12.804	2 0.681 0.612 -0.017 -11.644	R 63 0 3 0.194 0.189 0.414 1.622	4 -0.219 -0.224 -0.255 1.666
L 74 1 1 -0.264 -0.300 0.040 12.549	2 0.682 0.612 0.051 -11.714	R 64 0 3 0.208 0.199 0.437 1.956	4 -0.230 -0.231 -0.426 1.147
L 75 1 1 -0.261 -0.298 0.017 12.822	2 0.682 0.612 0.017 -11.556	R 65 0 3 0.223 0.210 0.267 0.901	4 -0.242 -0.241 -0.323 0.673
L 76 1 1 -0.258 -0.296 0.085 13.191	2 0.683 0.613 -0.176 -11.468	R 65 0 3 0.223 0.223 0.335 0.154	4 -0.255 -0.250 -0.199 2.818
L 77 1 1 -0.256 -0.295 0.119 13.174	2 0.684 0.614 0.040 -11.196	R 66 0 3 0.237 0.234 0.471 1.244	4 -0.255 -0.259 -0.301 1.323
L 77 1 1 -0.256 -0.293 0.006 13.033	2 0.685 0.614 0.017 -11.213	R 67 0 3 0.252 0.242 0.414 2.316	4 -0.269 -0.268 -0.460 0.338
L 78 1 1 -0.253 -0.291 0.051 13.121	2 0.685 0.614 -0.176 -11.064	R 68 0 3 0.267 0.256 0.244 0.620	4 -0.285 -0.281 -0.494 -0.110
L 79 1 1 -0.251 -0.290 0.062 13.534	2 0.687 0.615 -0.006 -10.853	R 68 0 3 0.267 0.268 0.323 -0.154	4 -0.302 -0.292 -0.312 2.149
L 80 1 1 -0.249 -0.288 0.108 13.429	2 0.688 0.615 0.017 -10.633	R 69 0 3 0.283 0.279 0.573 0.532	4 -0.302 -0.306 -0.482 0.892
L 80 1 1 -0.249 -0.286 0.017 13.253	2 0.689 0.616 0.028 -10.624	R 70 0 3 0.298 0.290 0.369 1.622	4 -0.319 -0.316 -0.471 -0.453
L 81 1 1 -0.246 -0.285 0.040 13.499	2 0.689 0.616 0.040 -10.475	R 71 0 3 0.313 0.302 0.153 0.312	4 -0.338 -0.329 -0.505 -0.875
L 82 1 1 -0.244 -0.283 0.062 13.780	2 0.690 0.617 0.040 -10.396	R 71 0 3 0.313 0.315 0.505 -0.699	4 -0.358 -0.345 -0.346 1.086
L 83 1 1 -0.241 -0.282 0.051 13.868	2 0.692 0.619 0.051 -10.308	R 72 0 3 0.328 0.327 0.516 0.092	4 -0.358 -0.359 -0.539 0.136
L 83 1 1 -0.241 -0.280 0.028 13.596	2 0.693 0.620 0.051 -10.545	R 73 0 3 0.343 0.337 0.562 0.532	4 -0.378 -0.373 -0.709 -0.857
L 84 1 1 -0.239 -0.279 0.040 14.044	2 0.693 0.621 0.062 -10.730	R 74 0 3 0.358 0.351 0.301 -1.095	4 -0.399 -0.387 -0.482 -2.123
L 85 1 1 -0.237 -0.278 0.096 14.114	2 0.694 0.622 0.017 -10.589	R 74 0 3 0.358 0.364 0.289 -2.229	4 -0.420 -0.403 -0.448 0.673
L 86 1 1 -0.234 -0.276 0.096 14.141	2 0.696 0.623 0.017 -10.440	R 75 0 3 0.373 0.376 0.369 -1.499	4 -0.420 -0.419 -0.437 -0.778
L 86 1 1 -0.234 -0.274 0.062 13.947	2 0.697 0.624 0.017 -10.404	R 76 0 3 0.387 0.386 0.471 -0.365	4 -0.442 -0.431 -0.664 -2.659
L 87 1 1 -0.232 -0.273 0.017 14.281	2 0.697 0.624 0.017 -10.273	R 77 0 3 0.401 0.396 0.244 -1.341	4 -0.464 -0.448 -0.619 -4.303
L 88 1 1 -0.230 -0.270 0.074 14.079	2 0.699 0.624 0.028 -9.842	R 77 0 3 0.401 0.409 0.358 -2.976	4 -0.486 -0.465 -0.414 -0.207
L 89 1 1 -0.227 -0.268 0.108 14.026	2 0.701 0.625 0.040 -9.543	R 78 0 3 0.415 0.421 0.358 -2.615	4 -0.486 -0.485 -0.664 -0.743
L 89 1 1 -0.227 -0.267 0.062 13.569	2 0.702 0.625 0.028 -9.420	R 79 0 3 0.428 0.429 0.392 -1.244	4 -0.508 -0.498 -0.607 -2.404
L 90 1 1 -0.225 -0.265 0.028 13.789	2 0.702 0.625 0.017 -9.200	R 80 0 3 0.440 0.437 0.153 -1.473	4 -0.530 -0.513 -0.539 -4.479
L 91 1 1 -0.223 -0.262 0.074 13.798	2 0.704 0.626 -0.176 -8.629	R 80 0 3 0.440 0.447 0.267 -2.440	4 -0.551 -0.530 -0.426 -0.224
L 92 1 1 -0.221 -0.260 0.085 13.446	2 0.706 0.627 0.028 -8.523	R 81 0 3 0.452 0.456 0.301 -1.780	4 -0.551 -0.550 -0.664 -0.655
L 92 1 1 -0.221 -0.259 0.085 13.077	2 0.707 0.628 0.062 -8.769	R 82 0 3 0.463 0.464 0.335 -0.796	4 -0.571 -0.564 -0.482 -1.930
L 93 1 1 -0.219 -0.257 -0.006 13.543	2 0.707 0.630 0.051 -8.945	R 83 0 3 0.474 0.471 0.153 -1.138	4 -0.591 -0.575 -0.550 -3.987
L 94 1 1 -0.217 -0.255 0.062 13.490	2 0.709 0.632 0.062 -8.787	R 83 0 3 0.474 0.479 0.187 -1.921	4 -0.610 -0.593 -0.414 -0.066
L 95 1 1 -0.215 -0.254 0.051 13.499	2 0.711 0.635 0.096 -9.156	R 84 0 3 0.484 0.487 0.278 -1.385	4 -0.610 -0.610 -0.528 -0.444
L 95 1 1 -0.215 -0.253 0.028 13.376	2 0.713 0.638 0.085 -9.886	R 85 0 3 0.492 0.493 0.267 -0.655	4 -0.627 -0.619 -0.482 -2.211
L 96 1 1 -0.212 -0.251 0.006 13.701	2 0.713 0.641 0.119 -10.703	R 86 0 3 0.500 0.498 0.199 -1.209	4 -0.643 -0.628 -0.482 -3.934
L 97 1 1 -0.210 -0.250 0.051 13.648	2 0.715 0.643 0.108 -10.870	R 86 0 3 0.500 0.506 0.199 -2.273	4 -0.658 -0.646 -0.323 -0.347
L 98 1 1 -0.208 -0.248 0.096 13.429	2 0.717 0.646 0.108 -11.266	R 87 0 3 0.507 0.511 0.176 -1.798	4 -0.658 -0.655 -0.335 -0.945
L 98 1 1 -0.208 -0.246 0.062 13.200	2 0.719 0.648 0.062 -11.644	R 88 0 3 0.513 0.515 0.165 -1.130	4 -0.671 -0.664 -0.369 -2.044
L 99 1 1 -0.206 -0.245 0.040 13.543	2 0.719 0.651 0.074 -12.075	R 89 0 3 0.517 0.518 0.119 -1.262	4 -0.683 -0.674 -0.403 -2.457
L 100 1 1 -0.204 -0.242 0.074 13.305	2 0.721 0.653 0.074 -11.960	R 89 0 3 0.517 0.521 -0.040 -1.103	4 -0.693 -0.683 -0.108 -0.857
L 101 1 1 -0.202 -0.241 0.085 13.121	2 0.723 0.654 0.062 -12.022	R 90 0 3 0.521 0.522 0.006 -0.338	4 -0.693 -0.687 -0.210 -2.000
L 101 1 1 -0.202 -0.238 0.096 12.400	2 0.725 0.656 0.062 -12.303	R 91 0 3 0.523 0.521 0.017 0.532	4 -0.701 -0.693 -0.187 -3.108
L 102 1 1 -0.200 -0.236 0.040 12.444	2 0.725 0.658 0.085 -12.470	R 92 0 3 0.525 0.521 -0.096 1.059	4 -0.708 -0.694 -0.165 -4.277
L 103 1 1 -0.199 -0.234 0.074 12.505	2 0.727 0.661 0.131 -12.593	R 92 0 3 0.525 0.521 -0.028 1.402	4 -0.713 -0.698 -0.085 -3.679
L 104 1 1 -0.197 -0.233 0.051 12.655	2 0.730 0.664 0.006 -13.349	R 93 0 3 0.525 0.521 -0.040 1.604	4 -0.713 -0.702 -0.096 -4.251
L 104 1 1 -0.197 -0.233 -0.028 12.760	2 0.732 0.670 0.221 -14.782	R 94 0 3 0.525 0.520 -0.028 1.675	4 -0.717 -0.706 -0.199 -3.846
L 105 1 1 -0.195 -0.233 0.006 13.376	2 0.732 0.676 0.199 -16.532	R 95 0 3 0.524 0.520 0.006 1.675	4 -0.719 -0.709 -0.165 -3.530
L 106 1 1 -0.193 -0.233 -0.028 13.912	2 0.734 0.682 0.096 -17.314	R 95 0 3 0.524 0.519 -0.028 1.842	4 -0.721 -0.712 -0.085 -2.826
L 107 1 1 -0.191 -0.233 0.028 14.255	2 0.737 0.686 0.142 17.859	R 96 0 3 0.522 0.517 -0.051 1.666	4 -0.721 -0.713 -0.051 -2.756
L 107 1 1 -0.191 -0.232 0.062 14.132	2 0.739 0.688 0.085 17.218	R 97 0 3 0.519 0.514 -0.119 1.710	4 -0.721 -0.713 0.017 -2.949
L 108 1 1 -0.189 -0.230 0.040 14.167	2 0.739 0.690 0.017 17.279	R 98 0 3 0.516 0.512 -0.051 2.070	4 -0.720 -0.712 0.028 -3.134
L 109 1 1 -0.188 -0.228 0.040 14.220	2 0.742 0.690 -0.017 -17.965	R 98 0 3 0.516 0.509 -0.108 2.554	4 -0.719 -0.710 0.040 -3.662
L 110 1 1 -0.186 -0.226 0.062 13.824	2 0.744 0.691 0.028 -17.244	R 99 0 3 0.512 0.505 -0.074 2.527	4 -0.719 -0.708 0.017 -3.547
L 110 1 1 -0.186 -0.224 0.028 13.393	2 0.747 0.691 0.028 -17.121	R 0 1 3 0.509 0.503 -0.108 2.088	4 -0.717 -0.707 0.085 -3.653
L 111 1 1 -0.184 -0.223 0.040 13.393	2 0.747 0.692 0.051 -16.954	R 1 1 3 0.505 0.501 -0.051 2.114	4 -0.715 -0.706 0.028 -3.257
L 112 1 1 -0.183 -0.221 0.017 13.552	2 0.749 0.693 -0.176 -16.207	R 1 1 3 0.505 0.498 -0.074 2.396	4 -0.713 -0.712 -0.244 -1.235
L 113 1 1 -0.181 -0.218 0.085 12.892	2 0.752 0.692 -0.006 -15.116	R 2 1 3 0.501 0.494 -0.051 2.290	4 -0.713 -0.713 0.040 -0.356
L 113 1 1 -0.181 -0.215 0.028 12.031	2 0.755 0.694 0.119 -15.459	R 3 1 3 0.497 0.494 -0.074 1.103	4 -0.711 -0.715 -0.085 0.927
L 114 1 1 -0.179 -0.215 -0.006 12.444	2 0.755 0.698 0.119 -15.996	R 4 1 3 0.493 0.492 -0.085 1.007	4 -0.709 -0.714 0.051 1.587
L 115 1 1 -0.178 -0.215 -0.028 12.998	2 0.758 0.702 0.108 -16.251	R 4 1 3 0.493 0.488 -0.062 1.464	4 -0.707 -0.714 0.006 1.684
L 116 1 1 -0.176 -0.215 0.006 13.226	2 0.760 0.706 0.165 -16.778	R 5 1 3 0.489 0.487 -0.017 0.673	4 -0.707 -0.715 -0.074 2.527
L 116 1 1 -0.176 -0.214 0.040 13.015	2 0.763 0.707 0.085 -16.980	R 6 1 3 0.485 0.485 -0.142 0.277	4 -0.706 -0.714 -0.006 2.993
L 117 1 1 -0.175 -0.212 0.040 13.051	2 0.763 0.709 0.085 -16.875	R 7 1 3 0.481 0.482 -0.108 0.488	4 -0.704 -0.713 0.108 3.073
L 118 1 1 -0.173 -0.211 0.017 13.165	2 0.766 0.711 0.096 -16.901	R 7 1 3 0.481 0.478 -0.096 1.015	4 -0.702 -0.712 0.017 2.774
L 119 1 1 -0.172 -0.210 0.040 13.165	2 0.769 0.714 0.119 -16.716	R 8 1 3 0.477 0.474 -0.096 1.042	4 -0.702 -0.712 -0.006 3.257
L 119 1 1 -0.172 -0.208 0.062 12.822	2 0.772 0.716 0.074 -16.954	R 9 1 3 0.473 0.472 -0.153 0.505	4 -0.701 -0.712 -0.006 3.829
L 0 0 1 -0.170 -0.208 0.062 13.007	2 0.772 0.719 0.108 -17.314	R 10 1 3 0.469 0.470 -0.017 0.602	4 -0.699 -0.712 0.028 4.303
L 1 0 1 -0.169 -0.207 -0.006 13.174	2 0.775 0.722 0.096 -17.305	R 10 1 3 0.469 0.467 0.017 0.778	4 -0.697 -0.711 0.074 4.145
L 2 0 1 -0.168 -0.204 0.131 12.426	2 0.778 0.722 0.017 -16.303	R 11 1 3 0.465 0.463 -0.199 1.138	4 -0.697 -0.710 0.074 4.286
L 2 0 1 -0.168 -0.199 0.187 10.835	2 0.781 0.720 -0.085 -15.380	R 12 1 3 0.462 0.460 -0.176 0.910	4 -0.696 -0.708 0.085 3.987
L 3 0 1 -0.166 -0.195 0.142 10.105	2 0.781 0.719 -0.074 -14.062	R 13 1 3 0.458 0.456 -0.131 1.657	4 -0.694 -0.704 0.153 3.143
L 4 0 1 -0.165 -0.191 0.119 9.235	2 0.784 0.718 -0.006 -12.875	R 13 1 3 0.458 0.450 -0.142 2.870	4 -0.693 -0.700 0.040 1.982
L 5 0 1 -0.163 -0.188 0.040 8.743	2 0.786 0.718 -0.176 -12.233	R 14 1 3 0.454 0.446 -0.119 2.932	4 -0.693 -0.698 -0.006 1.930
L 5 0 1 -0.163 -0.186 0.074 7.969	2 0.786 0.719 0.062 -12.602	R 15 1 3 0.450 0.443 -0.187 2.738	4 -0.692 -0.698 0.006 2.281
L 6 0 1 -0.160 -0.183 0.096 7.776	2 0.786 0.721 0.131 -13.209	R 16 1 3 0.447 0.441 -0.096 2.826	4 -0.690 -0.699 -0.006 2.862
L 7 0 1 -0.158 -0.181 0.062 8.277	2 0.786 0.724 0.108 -14.571	R 16 1 3 0.447 0.437 -0.119 3.424	4 -0.689 -0.699 0.006 2.826
L 8 0 1 -0.154 -0.179 0.074 8.532	2 0.784 0.727 0.074 -15.873	R 17 1 3 0.443 0.433 -0.142 3.697	4 -0.689 -0.698 0.040 2.932
L 8 0 1 -0.154 -0.177 0.074 7.829	2 0.781 0.728 0.040 -16.787	R 18 1 3 0.439 0.430 -0.187 3.609	4 -0.688 -0.696 0.051 2.941
L 9 0 1 -0.150 -0.174 0.108 8.154	2 0.781 0.728 0.017 -17.516	R 19 1 3 0.436 0.427 -0.142 3.846	4 -0.687 -0.694 0.119 2.695
L 10 0 1 -0.146 -0.170 0.131 8.356	2 0.776 0.728 -0.017 16.884	R 19 1 3 0.436 0.422 -0.096 4.541	4 -0.685 -0.692 0.062 1.912
L 11 0 1 -0.141 -0.167 0.142 8.576	2 0.770 0.727 -0.119 15.495	R 20 1 3 0.432 0.419 -0.187 4.778	4 -0.685 -0.690 0.062 1.349
L 11 0 1 -0.141 -0.163 0.142 7.662	2 0.761 0.725 -0.040 14.615	R 21 1 3 0.428 0.415 -0.176 4.699	4 -0.684 -0.686 0.131 0.743
L 12 0 1 -0.135 -0.158 0.165 8.075	2 0.761 0.722 -0.040 13.771	R 22 1 3 0.425 0.412 -0.074 5.174	4 -0.683 -0.685 0.074 0.673
L 13 0 1 -0.128 -0.153 0.187 8.664	2 0.751 0.717 -0.085 11.319	R 22 1 3 0.425 0.408 -0.142 6.132	4 -0.682 -0.682 0.165 -0.444
L 14 0 1 -0.121 -0.149 0.176 9.042	2 0.739 0.712 -0.312 9.666	R 23 1 3 0.421 0.403 -0.176 6.334	4 -0.682 -0.677 0.153 -1.991
L 14 0 1 -0.121 -0.143 0.142 7.864	2 0.725 0.708 -0.187 9.165	R 24 1 3 0.418 0.398 -0.176 6.809	4 -0.681 -0.672 0.142 -3.389
L 15 0 1 -0.112 -0.136 0.267 8.163	2 0.725 0.700 -0.210 8.567	R 25 1 3 0.414 0.394 -0.108 7.670	4 -0.680 -0.667 0.176 -4.734
L 16 0 1 -0.104 -0.130 0.233 8.734	2 0.709 0.693 -0.187 5.842	R 25 1 3 0.414 0.390 -0.153 8.338	4 -0.679 -0.663 0.187 -5.499
L 17 0 1 -0.095 -0.123 0.199 9.218	2 0.692 0.683 -0.550 3.626	R 26 1 3 0.410 0.387 -0.153 8.338	4 -0.679 -0.659 0.119 -7.301
L 17 0 1 -0.095 -0.113 0.267 6.563	2 0.673 0.676 -0.051 2.607	R 27 1 3 0.407 0.384 -0.051 7.978	4 -0.678 -0.655 0.119 -8.233
L 18 0 1 -0.085 -0.105 0.380 6.712	2 0.673 0.667 -0.255 2.123	R 28 1 3 0.403 0.381 -0.119 8.470	4 -0.677 -0.651 0.142 -9.341
L 19 0 1 -0.075 -0.096 0.289 7.090	2 0.653 0.655 -0.460 -0.347	R 28 1 3 0.403 0.377 -0.108 9.086	4 -0.677 -0.648 0.062 -10.123
L 20 0 1 -0.065 -0.084 0.392 5.895	2 0.632 0.642 -0.721 -2.070	R 29 1 3 0.400 0.376 -0.096 8.338	4 -0.677 -0.648 0.006 -10.105
L 20 0 1 -0.065 -0.072 0.460 2.053	2 0.610 0.629 -0.278 -1.569	R 30 1 3 0.397 0.376 -0.006 7.310	4 -0.676 -0.648 -0.017 -9.666
L 21 0 1 -0.054 -0.060 0.392 1.833	2 0.610 0.614 -0.312 -1.499	R 31 1 3 0.393 0.374 -0.040 7.248	4 -0.675 -0.649 -0.006 -9.420
L 22 0 1 -0.044 -0.051 0.244 2.334	2 0.588 0.599 -0.585 -4.040	R 31 1 3 0.393 0.373 -0.051 6.976	4 -0.674 -0.648 0.006 -9.516
L 23 0 1 -0.034 -0.042 0.267 1.701	2 0.565 0.587 -0.766 -5.965	R 32 1 3 0.390 0.371 -0.085 6.510	4 -0.674 -0.648 0.006 -9.534
L 23 0 1 -0.034 -0.034 0.244 -0.092	2 0.541 0.567 -0.289 -4.497	R 33 1 3 0.386 0.371 -0.040 5.552	4 -0.674 -0.648 -0.040 -9.209
L 24 0 1 -0.024 -0.025 0.267 0.611	2 0.541 0.551 -0.573 -3.178	R 34 1 3 0.383 0.370 -0.051 5.059	4 -0.673 -0.648 -0.006 -9.007
L 25 0 1 -0.014 -0.017 0.380 0.892	2 0.517 0.530 -0.914 -3.978	R 34 1 3 0.383 0.369 -0.040 4.752	4 -0.673 -0.648 -0.006 -9.059
L 26 0 1 -0.004 -0.012 0.255 1.323	2 0.494 0.513 -0.732 -5.349	R 35 1 3 0.379 0.368 -0.006 4.022	4 -0.673 -0.646 0.040 -9.367
L 26 0 1 -0.004 -0.006 0.085 0.470	2 0.470 0.496 -0.176 -4.611	R 36 1 3 0.376 0.366 -0.074 3.538	4 -0.672 -0.645 0.051 -9.675
L 27 0 1 0.005 -0.001 0.096 1.815	2 0.470 0.480 -0.562 -3.134	R 37 1 3 0.373 0.365 0.017 3.152	4 -0.672 -0.643 0.051 -10.035
L 28 0 1 0.013 0.006 0.187 2.325	2 0.447 0.458 -0.959 -3.398	R 37 1 3 0.373 0.364 -0.028 3.152	4 -0.671 -0.642 0.040 -10.527
L 29 0 1 0.020 0.013 0.233 1.921	2 0.424 0.442 -0.607 -5.358	R 38 1 3 0.370 0.362 -0.040 2.431	4 -0.671 -0.640 0.017 -11.029
L 29 0 1 0.020 0.019 0.176 0.505	2 0.402 0.429 -0.131 -4.892	R 39 1 3 0.366 0.362 -0.062 1.543	4 -0.671 -0.638 0.017 -11.556
L 30 0 1 0.027 0.023 0.131 1.235	2 0.402 0.411 -0.675 -3.090	R 40 1 3 0.363 0.360 -0.017 1.367	4 -0.670 -0.636 0.028 -11.916
L 31 0 1 0.033 0.029 0.176 1.385	2 0.381 0.394 -0.675 -4.470	R 40 1 3 0.363 0.360 -0.017 1.086	4 -0.670 -0.635 0.085 -12.558
L 32 0 1 0.038 0.033 0.165 1.200	2 0.360 0.379 -0.687 -5.305	R 41 1 3 0.360 0.359 -0.051 0.303	4 -0.670 -0.634 -0.006 -12.725
L 32 0 1 0.038 0.037 0.040 0.462	2 0.341 0.364 -0.142 -4.532	R 42 1 3 0.356 0.358 -0.051 -0.453	4 -0.670 -0.634 -0.017 -12.629
L 33 0 1 0.042 0.038 0.017 1.455	2 0.341 0.352 -0.426 -3.855	R 43 1 3 0.353 0.357 0.028 -0.585	4 -0.669 -0.634 0.006 -12.558
L 34 0 1 0.046 0.040 -0.028 1.886	2 0.322 0.335 -0.619 -4.418	R 43 1 3 0.353 0.356 0.017 -1.182	4 -0.669 -0.634 0.017 -12.549
L 35 0 1 0.048 0.042 0.017 1.859	2 0.305 0.323 -0.539 -5.481	R 44 1 3 0.350 0.356 -0.051 -2.000	4 -0.669 -0.633 0.017 -12.593
L 35 0 1 0.048 0.043 0.017 1.684	2 0.288 0.309 -0.221 -4.092	R 45 1 3 0.347 0.356 -0.006 -3.029	4 -0.669 -0.633 0.028 -12.558
L 36 0 1 0.049 0.043 0.006 2.009	2 0.288 0.298 -0.323 -3.459	R 46 1 3 0.344 0.356 -0.028 -3.538	4 -0.669 -0.633 0.017 -12.752
L 37 0 1 0.049 0.043 0.028 1.921	2 0.273 0.288 -0.471 -4.936	R 46 1 3 0.344 0.355 -0.006 -3.987	4 -0.669 -0.632 0.017 -13.138
L 38 0 1 0.047 0.044 -0.028 1.218	2 0.259 0.275 -0.573 -4.831	R 47 1 3 0.341 0.354 -0.028 -4.936	4 -0.669 -0.630 0.051 -13.534
L 38 0 1 0.047 0.044 -0.040 1.068	2 0.246 0.266 -0.119 -4.602	R 48 1 3 0.337 0.353 -0.108 -5.209	4 -0.669 -0.629 0.074 -14.141
L 39 0 1 0.045 0.044 0.028 0.488	2 0.246 0.258 -0.414 -3.697	R 49 1 3 0.334 0.352 -0.028 -5.473	4 -0.669 -0.628 0.028 -14.571
L 40 0 1 0.042 0.042 -0.051 -0.022	2 0.235 0.248 -0.403 -4.022	R 49 1 3 0.334 0.351 -0.040 -5.877	4 -0.669 -0.626 0.085 -15.046
L 41 0 1 0.038 0.042 -0.096 -1.051	2 0.225 0.239 -0.346 -4.787	R 50 1 3 0.331 0.349 -0.074 -6.352	4 -0.669 -0.625 0.051 -15.424
L 41 0 1 0.038 0.041 -0.028 -1.130	2 0.216 0.234 -0.062 -4.769	R 51 1 3 0.328 0.348 -0.074 -6.712	4 -0.669 -0.624 0.006 -15.864
L 42 0 1 0.033 0.039 -0.074 -2.281	2 0.216 0.228 -0.176 -4.637	R 52 1 3 0.325 0.347 -0.017 -6.800	4 -0.669 -0.623 0.028 -16.145
L 43 0 1 0.027 0.037 -0.119 -3.512	2 0.208 0.221 -0.301 -4.523	R 52 1 3 0.325 0.345 -0.028 -7.055	4 -0.669 -0.623 0.006 -16.198
L 44 0 1 0.020 0.035 -0.142 -4.523	2 0.201 0.214 -0.289 -4.171	R 53 1 3 0.322 0.343 -0.062 -7.538	4 -0.669 -0.623 -0.006 -16.242
